playerid,BBrefMinorsID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,firstname,lastname,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debutYear,finalGame,college,lahmanID,MlbID,SeamheadsRetroID,holtzID,BBrefMLBid,Ethnicity,Arm Slot,,,,,,,,,,
1498,41498,,,1967,5,17,South Korea,,,,,,,,,Byung-hoon,Lee,,Byung-Hoon Lee,,,,R,R,1990,1996,Korea University,1498,,,,1498,Asian,4,,,,,,,,,,
1497,41497,,,1967,5,5,South Korea,,Gwangju,,,,,,,Sun-jin,Kim,,Sun-Jin Kim,,182,71,R,R,1990,2000,Yonsei University,1497,,,,1497,Asian,4,,,,,,,,,,
15048,55048,,,2003,9,18,South Korea,,Seongnam,,,,,,,Dong-hee,Yoon,,Dong-Hee Yoon,,187,73,R,R,2022,2024,,15048,,,,15048,Asian,4,,,,,,,,,,
10575,50575,,,1977,3,5,South Korea,,Seoul,,,,,,,Keun-pyo,Jeon,,Keun-Pyo Jeon,,185,72,L,L,1996,2010,Hanyang University,10575,,,,10575,Asian,4,,,,,,,,,,
2070,42070,,,1974,1,14,South Korea,,Seoul,,,,,,,Yeon-soo,Park,,Yeon-Soo Park,,188,74,R,R,1998,2008,Wonkwang University,2070,,,,2070,Asian,4,,,,,,,,,,
1078,41078,,,1952,12,15,South Korea,,Seoul,,,,,,,Yeong-un,Song,,Yeong-Un Song,,,,L,L,1982,1988,,1078,,,,1078,Asian,4,,,,,,,,,,
10835,50835,,,1994,7,31,South Korea,,Changwon,,,,,,,Jun-tae,Kim,,Jun-Tae Kim,,175,68,L,R,2013,2024,Yeungnam Cyber University,10835,,,,10835,Asian,4,,,,,,,,,,
2407,42407,,,1973,6,29,Puerto Rico,,,,,,,,,Pedro,Valdes,,Pedro Valdes,,185,72,L,L,2007,2007,,2407,,,,2407,Asian,4,,,,,,,,,,
1029,41029,,,1956,2,29,South Korea,,Seoul,,,,,,,Young-ki,Jung,,Young-Ki Jung,,180,70,R,R,1982,1990,Yeungnam University,1029,,,,1029,Asian,4,,,,,,,,,,
10579,50579,,,1979,9,24,South Korea,,Cheongju,,,,,,,Seong-woo,Choo,,Seong-Woo Choo,,187,73,L,R,2002,2015,Sungkyunkwan University,10579,,,,10579,Asian,4,,,,,,,,,,
13007,53007,,,1989,11,10,United States,,,,,,,,,Michael,Choice,,Michael Blair Choice,,183,72,R,R,2017,2019,,13007,,,,13007,Asian,4,,,,,,,,,,
1171,41171,,,1960,6,20,South Korea,,Daegu,,,,,,,Seung-kyu,Hong,,Seung-Kyu Hong,,,,L,L,1983,1990,Sungkyunkwan University,1171,,,,1171,Asian,4,,,,,,,,,,
10241,50241,,,1981,6,4,South Korea,,Daegu,,,,,,,Ki-hyeok,Park,,Ki-Hyeok Park,,179,70,R,R,2013,2018,,10241,,,,10241,Asian,4,,,,,,,,,,
14220,54220,,,1996,10,16,South Korea,,Gwangju,,,,,,,Ho-cheol,Seo,,Ho-Cheol Seo,,179,70,R,R,2019,2024,Dong-eui University,14220,,,,14220,Asian,4,,,,,,,,,,
2174,42174,,,1966,12,29,Dominican Republic,,,,,,,,,Luis,Martinez,,Luis Manuel de los Santos Martinez,,195,76,R,R,2001,2001,,2174,,,,2174,Asian,4,,,,,,,,,,
10860,50860,,,1992,3,8,South Korea,,Gwangju,,,,,,,Woo-ram,Moon,,Woo-Ram Moon,,175,68,L,R,2011,2015,,10860,,,,10860,Asian,4,,,,,,,,,,
10666,50666,,,1980,4,1,South Korea,,Daejeon,,,,,,,Dong-jin,Go,,Dong-Jin Go,,183,72,L,L,2004,2015,Sungkyunkwan University,10666,,,,10666,Asian,4,,,,,,,,,,
2373,42373,,,1976,9,4,United States,,,,,,,,,Brian,Myrow,,Brian Myrow,,178,70,L,R,2006,2006,,2373,,,,2373,Asian,4,,,,,,,,,,
2350,42350,,,1973,8,28,United States,,,,,,,,,Kit,Pellow,,Kit Pellow,,184,72,R,R,2005,2005,,2350,,,,2350,Asian,4,,,,,,,,,,
10031,50031,,,1983,12,31,South Korea,,Gwangju,,,,,,,Jong-gil,Shin,,Jong-Gil Shin,,183,72,L,R,2003,2018,Dongshin University,10031,,,,10031,Asian,4,,,,,,,,,,
15152,55152,,,1993,11,12,United States,,,,,,,,,Zach,Reks,,Zach Reks,,188,74,L,R,2022,2023,,15152,,,,15152,Asian,4,,,,,,,,,,
2311,42311,,,1967,11,24,United States,,,,,,,,,Al,Martin,,Albert Martin,,188,74,L,L,2004,2004,,2311,,,,2311,Asian,4,,,,,,,,,,
1245,41245,,,1958,12,21,Japan,,,,,,,,,Go-woong,Yu,,Go-Woong Yu,,,,R,R,1985,1988,,1245,,,,1245,Asian,4,,,,,,,,,,
1052,41052,,,1953,6,11,South Korea,,Pohang,,,,,,,Bo-sung,Chun,,Bo-sung Chun,,177,69,R,R,1982,1984,Hanyang University,1052,,,,1052,Asian,4,,,,,,,,,,
2275,42275,,,1971,9,29,Venezuela,,,,,,,,,Eddy,Diaz,,Eddy Diaz,,178,70,R,R,2003,2004,,2275,,,,2275,Asian,4,,,,,,,,,,
11226,51226,,,1995,9,30,South Korea,,Seoul,,,,,,,Byeong-wook,Lim,,Byeong-Wook Lim,,187,73,L,R,2015,2024,,11226,,,,11226,Asian,4,,,,,,,,,,
10194,50194,,,1972,6,12,South Korea,,Daegu,,,,,,,Sangr-yul,Jeon,,Sangr-Yul Jeon,,174,68,L,L,1991,2009,,10194,,,,10194,Asian,4,,,,,,,,,,
10658,50658,,,1979,6,13,United States,,,,,,,,,Cory,Aldridge,,Cory Jerome Aldridge,,185,72,L,R,2011,2011,,10658,,,,10658,Asian,4,,,,,,,,,,
10562,50562,,,1977,3,27,South Korea,,Seoul,,,,,,,Won-seok,Jeong,,Won-Seok Jeong,,180,70,R,R,2000,2012,Dongguk University,10562,,,,10562,Asian,4,,,,,,,,,,
10398,50398,,,1978,7,1,South Korea,,Seoul,,,,,,,Il-gyeong,Kim,,Il-Gyeong Kim,,178,70,R,R,1999,2012,,10398,,,,10398,Asian,4,,,,,,,,,,
15008,55008,,,1990,6,27,United States,,,,,,,,,Nick,Martini,,Nick Martini,,182,71,L,L,2022,2022,,15008,,,,15008,Asian,4,,,,,,,,,,
2138,42138,,,1971,3,26,Dominican Republic,,,,,,,,,Jesus,Alcantara,,Jes?s Rafael Tav?rez Alc?ntaras,,183,72,S,R,2000,2001,,2138,,,,2138,Asian,4,,,,,,,,,,
10342,50342,,,1985,10,11,South Korea,,Seoul,,,,,,,Young-wook,Lee,,Young-Wook Lee,,180,70,L,L,2008,2018,Dongguk University,10342,,,,10342,Asian,4,,,,,,,,,,
11298,51298,,,1992,4,30,South Korea,,Gunsan,,,,,,,Ho-ryeong,Kim,,Ho-Ryeong Kim,,178,70,R,R,2015,2024,Dongguk University,11298,,,,11298,Asian,4,,,,,,,,,,
15539,55539,,,1993,2,24,United States,,,,,,,,,Jose,Rojas,,Jose Rojas,,183,72,L,R,2023,2023,,15539,,,,15539,Asian,4,,,,,,,,,,
10810,50810,,,1994,1,3,South Korea,,Suwon,,,,,,,Hang,Choi,,Hang Choi,,183,72,L,R,2012,2024,,10810,,,,10810,Asian,4,,,,,,,,,,
10804,50804,,,1992,12,4,South Korea,,Daegu,,,,,,,Seung-wook,Park,,Seung-Wook Park,,184,72,L,R,2012,2024,,10804,,,,10804,Asian,4,,,,,,,,,,
12522,52522,,,1997,8,5,South Korea,,Suwon,,,,,,,Jun-young,Park,,Jun-Young Park,,180,70,R,R,2016,2024,,12522,,,,12522,Asian,4,,,,,,,,,,
14642,54642,,,1997,12,19,South Korea,,Incheon,,,,,,,Seong-bin,Hwang,,Seong-Bin Hwang,,172,67,L,R,2020,2024,Gyeongnam University,14642,,,,14642,Asian,4,,,,,,,,,,
1437,41437,,,1964,5,19,South Korea,,Boseong,,,,,,,Jin-han,Kim,,Jin-Han Kim,,,,R,R,1989,1992,Inha University,1437,,,,1437,Asian,4,,,,,,,,,,
2027,42027,,,1973,3,28,South Korea,,Incheon,,,,,,,Han-gyu,Seo,,Han-Gyu Seo,,180,70,R,R,1998,2007,Hongik University,2027,,,,2027,Asian,4,,,,,,,,,,
1008,41008,,,1955,6,5,South Korea,,Seoul,,,,,,,Yong-woon,Kim,,Yong-Woon Kim,,,,R,R,1982,1990,,1008,,,,1008,Asian,4,,,,,,,,,,
1441,41441,,,1966,7,22,South Korea,,Seoul,,,,,,,Sun-il,Park,,Sun-Il Park,,,,R,R,1989,1996,Kyung Hee University,1441,,,,1441,Asian,4,,,,,,,,,,
10416,50416,,,1982,5,9,South Korea,,Changwon,,,,,,,Min-seok,Jang,,Min-Seok Jang,,180,70,L,L,2001,2018,,10416,,,,10416,Asian,4,,,,,,,,,,
1398,41398,,,1964,9,28,South Korea,,Busan,,,,,,,Hyun-taek,Lee,,Hyun-Taek Lee,,,,L,L,1988,1992,Dong-A University,1398,,,,1398,Asian,4,,,,,,,,,,
15035,55035,,,2003,8,24,South Korea,,Yangsan,,,,,,,Yeong-woong,Kim,,Yeong-Woong Kim,,183,72,L,R,2022,2024,,15035,,,,15035,Asian,4,,,,,,,,,,
1160,41160,,,1953,7,30,South Korea,,Busan,,,,,,,Jae-won,Sim,,Jae-Won Sim,,,,R,R,1983,1991,Sungkyunkwan University,1160,,,,1160,Asian,4,,,,,,,,,,
10640,50640,,,1988,11,9,South Korea,,Jeju,,,,,,,Heon-gon,Kim,,Heon-Gon Kim,,174,68,R,R,2011,2024,Yeungnam University,10640,,,,10640,Asian,4,,,,,,,,,,
14221,54221,,,2000,6,24,South Korea,,Cheongju,,,,,,,Jeong-won,Choi,,Jeong-Won Choi,,176,69,L,R,2019,2024,,14221,,,,14221,Asian,4,,,,,,,,,,
1007,41007,,,1956,5,10,South Korea,,Seoul,,,,,,,Yong-dal,Kim,,Yong-dal Kim,,180,70,R,R,1982,1988,Chung-Ang University,1007,,,,1007,Asian,4,,,,,,,,,,
13113,53113,,,1999,2,13,South Korea,,Gwangju,,,,,,,Jun-soo,Han,,Jun-Soo Han,,184,72,L,R,2018,2024,,13113,,,,13113,Asian,4,,,,,,,,,,
11275,51275,,,1985,2,8,Dominican Republic,,,,,,,,,Felix,Pie,,F?lix Pie Dofen,,188,74,L,L,2014,2014,,11275,,,,11275,Asian,4,,,,,,,,,,
10081,50081,,,1982,3,30,South Korea,,Seoul,,,,,,,Yo-seop,Yoon,,Yo-Seop Yoon,,180,70,R,R,2008,2017,Dankook University,10081,,,,10081,Asian,4,,,,,,,,,,
11468,51468,,,1968,3,1,South Korea,,Gwangju,,,,,,,Gyeong-yeob,Yeom,,Gyeong-Yeob Yeom,,178,70,R,R,1991,2000,Korea University,11468,,,,11468,Asian,4,,,,,,,,,,
1288,41288,,,1957,3,15,South Korea,,Seoul,,,,,,,Jong-soo,Kim,,Jong-Soo Kim,,174,68,R,R,1986,1988,Korea University,1288,,,,1288,Asian,4,,,,,,,,,,
12894,52894,,,1998,8,5,South Korea,,Cheonan,,,,,,,Yu-chan,Lee,,Yu-Chan Lee,,175,68,R,R,2017,2024,,12894,,,,12894,Asian,4,,,,,,,,,,
16121,56121,,,1998,11,10,Venezuela,,,,,,,,,Yonathan,Perlaza,,Yonathan Jes?s Perlaza,,175,68,S,R,2024,2024,,16121,,,,16121,Asian,4,,,,,,,,,,
1397,41397,,,1965,4,16,South Korea,,Busan,,,,,,,Dong-hyo,Yoo,,Dong-Hyo Yoo,,,,R,R,1988,1994,Dong-A University,1397,,,,1397,Asian,4,,,,,,,,,,
2088,42088,,,1974,1,31,United States,,,,,,,,,Eddie,Pearson,,Eddie Lavorn Pearson,,188,74,L,R,1999,1999,,2088,,,,2088,Asian,4,,,,,,,,,,
12713,52713,,,1965,8,10,South Korea,,Daegu,,,,,,,Jong-hwa,Jeon,,Jong-Hwa Jeon,,180,70,R,R,1987,1998,Yeungnam University,12713,,,,12713,Asian,4,,,,,,,,,,
1136,41136,,,1955,12,22,South Korea,,Pohang,,,,,,,Dae-jin,Kim,,Dae-Jin Kim,,182,71,R,R,1983,1987,Yonsei University,1136,,,,1136,Asian,4,,,,,,,,,,
12519,52519,,,1984,7,20,United States,,,,,,,,,Danny,Dorn,,Danny Dorn,,188,74,L,L,2016,2017,,12519,,,,12519,Asian,4,,,,,,,,,,
11201,51201,,,1982,1,30,Mexico,,,,,,,,,Jorge,Guzman,,Jorge Lu?s Cant? Guzm?n,,192,75,R,R,2014,2015,,11201,,,,11201,Asian,4,,,,,,,,,,
10676,50676,,,1992,8,11,South Korea,,Gwangju,,,,,,,Gyeong-hak,Kang,,Gyeong-Hak Kang,,180,70,L,R,2011,2022,,10676,,,,10676,Asian,4,,,,,,,,,,
1563,41563,,,1967,12,20,South Korea,,Cheonan,,,,,,,Yong-mo,Yang,,Yong-Mo Yang,,180,70,R,R,1991,2002,Dong-A University,1563,,,,1563,Asian,4,,,,,,,,,,
10317,50317,,,1979,7,8,South Korea,,Seoul,,,,,,,Jae-yoon,Hyun,,Jae-Yoon Hyun,,174,68,R,R,2002,2014,Sungkyunkwan University,10317,,,,10317,Asian,4,,,,,,,,,,
12524,52524,,,1993,8,30,South Korea,,Gangneung,,,,,,,Su-haeng,Cho,,Su-Haeng Cho,,178,70,L,R,2016,2024,Konkuk University,12524,,,,12524,Asian,4,,,,,,,,,,
10252,50252,,,1980,8,23,South Korea,,Gwangju,,,,,,,Bo-myung,Jung,,Bo-Myung Jung,,175,68,R,R,2003,2013,Dong-eui University,10252,,,,10252,Asian,4,,,,,,,,,,
1279,41279,,,1960,2,1,South Korea,,Seoul,,,,,,,Gyung-gap,Kim,,Gyung-Gap Kim,,,,R,R,1986,1987,Yeungnam University,1279,,,,1279,Asian,4,,,,,,,,,,
2381,42381,,,1976,9,29,United States,,,,,,,,,Calvin,Pickering,,Calvin Pickering,,198,77,L,L,2006,2006,,2381,,,,2381,Asian,4,,,,,,,,,,
14114,54114,,,1990,11,4,South Korea,,Seoul,,,,,,,Hak-ju,Lee,,Hak-Ju Lee,,187,73,L,R,2019,2024,,14114,,,,14114,Asian,4,,,,,,,,,,
11372,51372,,,1984,9,10,United States,,,,,,,,,Andrew,Brown,,Andrew Brown,,182,71,R,R,2015,2015,,11372,,,,11372,Asian,4,,,,,,,,,,
15422,55422,,,2004,4,20,South Korea,,Cheonan,,,,,,,Hyun-bin,Moon,,Hyun-Bin Moon,,174,68,L,R,2023,2024,,15422,,,,15422,Asian,4,,,,,,,,,,
14707,54707,,,2000,1,30,South Korea,,Pohang,,,,,,,In-ho,Choi,,In-Ho Choi,,178,70,L,R,2020,2024,,14707,,,,14707,Asian,4,,,,,,,,,,
15000,55000,,,1992,4,15,Puerto Rico,,,,,,,,,Henry,Ramos,,Henry Ramos,,183,72,S,R,2022,2024,,15000,,,,15000,Asian,4,,,,,,,,,,
11287,51287,,,1982,5,25,United States,,,,,,,,,Brad,Snyder,,Brad Snyder,,192,75,L,L,2014,2016,,11287,,,,11287,Asian,4,,,,,,,,,,
14867,54867,,,2002,10,11,South Korea,,Seoul,,,,,,,Hyun-jun,Kim,,Hyun-Jun Kim,,178,70,L,L,2021,2024,,14867,,,,14867,Asian,4,,,,,,,,,,
14797,54797,,,2002,2,15,South Korea,,Seoul,,,,,,,Seung-yeop,Na,,Seung-Yeop Na,,190,74,L,R,2021,2024,,14797,,,,14797,Asian,4,,,,,,,,,,
11469,51469,,,1958,11,1,South Korea,,Gongju,,,,,,,Kyeong-mun,Kim,,Kyeong-Mun Kim,,178,70,R,R,1982,1991,Korea University,11469,,,,11469,Asian,4,,,,,,,,,,
11342,51342,,,1991,8,2,South Korea,,Seoul,,,,,,,Min-seop,Song,,Min-Seop Song,,177,69,R,R,2015,2024,Dankook University,11342,,,,11342,Asian,4,,,,,,,,,,
10240,50240,,,1983,7,5,South Korea,,Gunsan,,,,,,,Kyu-hyun,Moon,,Kyu-Hyun Moon,,184,72,R,R,2002,2019,,10240,,,,10240,Asian,4,,,,,,,,,,
16042,56042,,,2003,1,3,South Korea,,Gangneung,,,,,,,Jun-jae,Jung,,Jun-jae Jung,,165,64,L,R,2024,2024,Dongguk University,16042,,,,16042,Asian,4,,,,,,,,,,
10466,50466,,,1985,8,20,South Korea,,Seoul,,,,,,,Yong-eui,Kim,,Yong-Eui Kim,,187,73,L,R,2008,2021,Korea University,10466,,,,10466,Asian,4,,,,,,,,,,
11413,51413,,,1994,4,10,South Korea,,Cheongju,,,,,,,Si-wahn,Ji,,Si-Wahn Ji,,181,71,R,R,2015,2024,,11413,,,,11413,Asian,4,,,,,,,,,,
10341,50341,,,1989,12,3,South Korea,,Daegu,,,,,,,Dong-gyun,Woo,,Dong-Gyun Woo,,175,68,L,R,2008,2019,Kyungil University,10341,,,,10341,Asian,4,,,,,,,,,,
1347,41347,,,1968,8,30,South Korea,,Seoul,,,,,,,Hyun-young,Park,,Hyun-Young Park,,,,R,R,1987,1998,,1347,,,,1347,Asian,4,,,,,,,,,,
2248,42248,,,1969,6,21,United States,,,,,,,,,Corey,Paul,,Corey Paul,,185,72,L,L,2002,2002,,2248,,,,2248,Asian,4,,,,,,,,,,
10408,50408,,,1977,4,23,South Korea,,Seoul,,,,,,,Byeong-sik,Kang,,Byeong-Sik Kang,,182,71,L,R,2000,2016,Korea University,10408,,,,10408,Asian,4,,,,,,,,,,
2144,42144,,,1969,10,12,United States,,,,,,,,,Derrick,White,,Derrick White,,183,72,R,R,2000,2000,,2144,,,,2144,Asian,4,,,,,,,,,,
1429,41429,,,1967,2,28,South Korea,,,,,,,,,Jong-pil,Kang,,Jong-Pil Kang,,,,R,R,1989,1997,Keimyung University,1429,,,,1429,Asian,4,,,,,,,,,,
11198,51198,,,1996,1,11,South Korea,,Gwangju,,,,,,,Gye-beom,Park,,Gye-Beom Park,,177,69,R,R,2015,2024,Daegu Cyber University,11198,,,,11198,Asian,4,,,,,,,,,,
2315,42315,,,1969,8,4,United States,,,,,,,,,Troy,O'reary,,Troy O?™leary,,181,71,L,L,2004,2004,,2315,,,,2315,Asian,4,,,,,,,,,,
10340,50340,,,1986,10,13,South Korea,,Seoul,,,,,,,Jeong-bok,Oh,,Jeong-Bok Oh,,177,69,R,R,2009,2019,Inha University,10340,,,,10340,Asian,4,,,,,,,,,,
14571,54571,,,1993,4,19,South Korea,,,,,,,,,Kwon-soo,An,,Kwon-Soo An,,175,68,L,R,2020,2023,,14571,,,,14571,Asian,4,,,,,,,,,,
1592,41592,,,1967,5,22,South Korea,,,,,,,,,Hyuk,Yoon,,Hyuk Yoon,,,,L,L,1991,1995,Korea University,1592,,,,1592,Asian,4,,,,,,,,,,
16158,56158,,,1995,7,9,Canada,,,,,,,,,Jared,Young,,Jared Young,,185,72,L,R,2024,2024,,16158,,,,16158,Asian,4,,,,,,,,,,
10097,50097,,,1977,10,23,South Korea,,Seoul,,,,,,,Jeong-hwan,Park,,Jeong-Hwan Park,,180,70,R,R,1996,2011,Dongguk University,10097,,,,10097,Asian,4,,,,,,,,,,
2071,42071,,,1971,12,26,United States,,,,,,,,,William,Briggs,,William Stoney Briggs,,188,74,R,R,1999,1999,,2071,,,,2071,Asian,4,,,,,,,,,,
14147,54147,,,1990,10,29,South Korea,,Seoul,,,,,,,Jae-hoon,Ha,,Jae-Hoon Ha,,182,71,R,R,2019,2024,,14147,,,,14147,Asian,4,,,,,,,,,,
2044,42044,,,1967,10,3,Dominican Republic,,,,,,,,,Junior,Felix,,Junior Felix,,180,70,S,R,1998,1999,,2044,,,,2044,Asian,4,,,,,,,,,,
10465,50465,,,1976,11,19,South Korea,,Seongnam,,,,,,,Yong-gwan,Gwon,,Yong-Gwan Gwon,,180,70,R,R,1996,2016,,10465,,,,10465,Asian,4,,,,,,,,,,
10777,50777,,,1989,2,25,South Korea,,Changwon,,,,,,,Min-ha,Kim,,Min-Ha Kim,,181,71,R,R,2011,2021,Chung-Ang University,10777,,,,10777,Asian,4,,,,,,,,,,
1275,41275,,,1962,4,21,South Korea,,Seoul,,,,,,,Bok-geun,Lee,,Bok-Geun Lee,,179,70,R,R,1986,1991,Kyung Hee University,1275,,,,1275,Asian,4,,,,,,,,,,
1002,41002,,,1951,6,10,South Korea,,Changwon,,,,,,,Doo-jo,Kwon,,Doo-Jo Kwon,,173,68,R,R,1982,1987,Chung-Ang University,1002,,,,1002,Asian,4,,,,,,,,,,
1149,41149,,,1962,6,18,South Korea,,Pohang,,,,,,,Geun-seok,Kim,,Geun-Seok Kim,,,,R,R,1983,1988,Korea University,1149,,,,1149,Asian,4,,,,,,,,,,
14771,54771,,,2002,2,15,South Korea,,Seoul,,,,,,,Jae-seok,An,,Jae-Seok An,,185,72,L,R,2021,2023,,14771,,,,14771,Asian,4,,,,,,,,,,
2086,42086,,,1975,10,24,South Korea,,Changwon,,,,,,,Jong-guk,Chae,,Jong-Guk Chae,,181,71,R,R,1999,2008,Yonsei University,2086,,,,2086,Asian,4,,,,,,,,,,
12539,52539,,,1997,7,21,South Korea,,Seoul,,,,,,,Jin-young,Lee,,Jin-Young Lee,,183,72,R,R,2016,2024,,12539,,,,12539,Asian,4,,,,,,,,,,
1068,41068,,,1954,9,12,South Korea,,,,,,,,,Ho-in,Kim,,Ho-In Kim,,,,R,R,1982,1982,Dankook University,1068,,,,1068,Asian,4,,,,,,,,,,
1075,41075,,,1953,2,20,South Korea,,Seoul,,,,,,,Jun-young,Park,,Jun-Young Park,,,,L,L,1982,1984,,1075,,,,1075,Asian,4,,,,,,,,,,
1607,41607,,,1968,9,30,South Korea,,Gunsan,,,,,,,Hae-sik,Choi,,Hae-Sik Choi,,178,70,R,R,1991,2001,Konkuk University,1607,,,,1607,Asian,4,,,,,,,,,,
11493,51493,,,1987,7,2,United States,,,,,,,,,Dan,Black,,Dan Black,,193,75,S,R,2015,2016,,11493,,,,11493,Asian,4,,,,,,,,,,
11228,51228,,,1982,5,7,Venezuela,,,,,,,,,Luis,Jim?nez,,Luis Antonio Jim?nez,,192,75,L,L,2014,2015,,11228,,,,11228,Asian,4,,,,,,,,,,
2178,42178,,,1966,7,24,Dominican Republic,,,,,,,,,Julian,Yan,,Julian Yan,,190,74,R,R,2001,2001,,2178,,,,2178,Asian,4,,,,,,,,,,
15151,55151,,,1989,3,17,Dominican Republic,,,,,,,,,Juan,Lagares,,Juan Lagares,,187,73,R,R,2022,2022,,15151,,,,15151,Asian,4,,,,,,,,,,
12514,52514,,,1988,3,5,Dominican Republic,,,,,,,,,Hector,Gomez,,Hector Alexis Gomez,,188,74,R,R,2016,2016,,12514,,,,12514,Asian,4,,,,,,,,,,
10859,50859,,,1989,9,17,South Korea,,Suwon,,,,,,,Sang-woo,Seo,,Sang-Woo Seo,,187,73,L,R,2012,2019,Konkuk University,10859,,,,10859,Asian,4,,,,,,,,,,
14590,54590,,,1994,8,23,South Korea,,Cheongju,,,,,,,Ho-young,Son,,Ho-Young Son,,182,71,R,R,2020,2024,Hongik University,14590,,,,14590,Asian,4,,,,,,,,,,
12639,52639,,,1993,10,27,South Korea,,Cheongju,,,,,,,Sung-hoon,Kim,,Sung-Hoon Kim,,172,67,L,R,2016,2020,Seoul Arts & Culture University,12639,,,,12639,Asian,4,,,,,,,,,,
1743,41743,,,1970,4,5,South Korea,,Seoul,,,,,,,Tae-il,Song,,Tae-Il Song,,174,68,R,R,1993,1996,Konkuk University,1743,,,,1743,Asian,4,,,,,,,,,,
2241,42241,,,1975,10,8,United States,,,,,,,,,Jeffery,Inglin,,Jeffrey Inglin,,180,70,R,R,2002,2002,,2241,,,,2241,Asian,4,,,,,,,,,,
11422,51422,,,1992,10,24,South Korea,,Seoul,,,,,,,Byung-woo,Jeon,,Byung-Woo Jeon,,182,71,R,R,2015,2024,Dong-A University,11422,,,,11422,Asian,4,,,,,,,,,,
11377,51377,,,1996,12,27,South Korea,,Cheonan,,,,,,,Woo-hyun,Song,,Woo-Hyun Song,,181,71,L,L,2015,2021,,11377,,,,11377,Asian,4,,,,,,,,,,
2285,42285,,,1975,9,24,Dominican Republic,,,,,,,,,Mario,Encarnacion,,Mario Gonz?lez Encarnaci?n,,185,72,R,R,2003,2004,,2285,,,,2285,Asian,4,,,,,,,,,,
1158,41158,,,1960,5,22,South Korea,,Seoul,,,,,,,Cheol-young,Park,,Cheol-Young Park,,178,70,R,R,1983,1988,Yonsei University,1158,,,,1158,Asian,4,,,,,,,,,,
13104,53104,,,1999,7,17,South Korea,,Seoul,,,,,,,Jae-won,Lee,,Jae-Won Lee,,191,75,R,R,2018,2024,,13104,,,,13104,Asian,4,,,,,,,,,,
12560,52560,,,1993,3,18,South Korea,,Busan,,,,,,,Tae-hun,Do,,Tae-Hun Do,,184,72,L,R,2016,2024,Dong-eui University,12560,,,,12560,Asian,4,,,,,,,,,,
2282,42282,,,1971,5,6,Dominican Republic,,,,,,,,,Israel,Alcantara,,Israel Alcantara,,190,74,R,R,2003,2004,,2282,,,,2282,Asian,4,,,,,,,,,,
14741,54741,,,1986,5,15,United States,,,,,,,,,Brandon,Barnes,,Brandon Michael Barnes,,188,74,R,R,2020,2020,,14741,,,,14741,Asian,4,,,,,,,,,,
16110,56110,,,1999,10,16,South Korea,,Cheongju,,,,,,,Young-mook,Hwang,,Young-mook Hwang,,177,69,L,R,2024,2024,,16110,,,,16110,Asian,4,,,,,,,,,,
1033,41033,,,1957,6,27,South Korea,,Gwangju,,,,,,,Young-hwa,Cha,,Young-Hwa Cha,,178,70,R,R,1982,1989,,1033,,,,1033,Asian,4,,,,,,,,,,
2002,42002,,,1974,1,15,South Korea,,Daegu,,,,,,,Sung-kwan,Hwang,,Sung-Kwan Hwang,,172,67,L,L,1997,2001,Yeungnam University,2002,,,,2002,Asian,4,,,,,,,,,,
1728,41728,,,1970,9,20,South Korea,,,,,,,,,Eui-sik,Gong,,Eui-Sik Gong,,,,R,R,1993,1997,Dongguk University,1728,,,,1728,Asian,4,,,,,,,,,,
2141,42141,,,1967,10,20,United States,,,,,,,,,Harvey,Pulliam,,Harvey Pulliam,,180,70,R,R,2000,2000,,2141,,,,2141,Asian,4,,,,,,,,,,
1198,41198,,,1962,1,25,South Korea,,Changwon,,,,,,,Han-jo,Kim,,Han-Jo Kim,,,,R,L,1984,1989,Dong-A University,1198,,,,1198,Asian,4,,,,,,,,,,
10104,50104,,,1987,3,28,South Korea,,Seongnam,,,,,,,Yun-seok,Choi,,Yun-Seok Choi,,173,68,R,R,2010,2019,Hongik University,10104,,,,10104,Asian,4,,,,,,,,,,
13935,53935,,,1991,7,16,United States,,,,,,,,,Tommy,Joseph,,Thomas Richard Joseph,,185,72,R,R,2019,2019,,13935,,,,13935,Asian,4,,,,,,,,,,
11260,51260,,,1991,7,26,South Korea,,Seoul,,,,,,,Jun-tae,Park,,Jun-Tae Park,,182,71,L,R,2014,2023,Inha University,11260,,,,11260,Asian,4,,,,,,,,,,
13060,53060,,,1985,4,12,Cuba,,,,,,,,,Adonis,Garcia,,Adonis Garcia,,177,69,R,R,2018,2018,,13060,,,,13060,Asian,4,,,,,,,,,,
1801,41801,,,1972,5,5,South Korea,,,,,,,,,Ju-sung,Kim,,Ju-Sung Kim,,,,R,R,1994,1996,Dong-A University,1801,,,,1801,Asian,4,,,,,,,,,,
11099,51099,,,1994,7,17,South Korea,,Daejeon,,,,,,,Woo-sung,Lee,,Woo-Sung Lee,,182,71,R,R,2013,2024,,11099,,,,11099,Asian,4,,,,,,,,,,
1272,41272,,,1963,6,18,South Korea,,Pohang,,,,,,,Yoon,Gu,,Yoon Gu,,,,L,L,1986,1994,Chung-Ang University,1272,,,,1272,Asian,4,,,,,,,,,,
